Provider Name,Street Address,State,City,Zipcode,County,Phone Number
A STEP FORWARD INC.,5310 E WILLIAMS ST,DECATUR,IL,62521,Macon,217-422 6361
"ABILITIES PLUS, INC.",1100 N East ST,KEWANEE,IL,61443,Henry,309-852 4626
"ACTIVE DAY IN, INC","4011 Avenue of the Cities, Suite 102",Moline,IL,61265,Rock Island,309-797-0200
ACTIVE VISIONS INC,5721 N. Central,CHICAGO,IL,60646,Cook,773-594 0921
ADA S MCKINLEY COMMUNITY SERVICES INC,1359 W Washington Boulevard,CHICAGO,IL,60607,Cook,312-385-2000
"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",2073 Veterans Road,Morton,IL,61550,Tazewell,309-266 9781
ARROWLEAF,PO BOX 759 125 NORTH MARKET,GOLCONDA,IL,62938,Pope,618-658 2611
ARTS OF LIFE INC,2110 W Carroll Ave,CHICAGO,IL,60612,Cook,312-829 2787
ASPIRE OF ILLINOIS,1815 SOUTH WOLF ROAD,Hillside,IL,60162,Cook,708-236 0979
ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,309 W New Indian Trail Court,AURORA,IL,60506,Kane,630-966 4000
ASSOCIATION FOR THE DISABLED IN WOODFORD COUNTY,200 Moody St,Eureka,IL,61530,Woodford,309-467 3015
ASSOCIATION HOUSE OF CHICAGO,1116 N Kedzie,Chicago,IL,60651,Cook,773 772-7170
AUSTIN SPECIAL CHICAGO,5318 N Elstone Ave,CHICAGO,IL,60630,Cook,773-282 9992
AVENUES TO INDEPENDENCE,515 Busse Hwy,PARK RIDGE,IL,60068,Cook,847-292 0870
BARBARA OLSON CENTER OF HOPE,3206 N Central Ave,ROCKFORD,IL,61101,Winnebago,815-964 9275
BEVERLY FARM FOUNDATION,6301 Humbert Road,GODFREY,IL,62035,Madison,618-466 0367
BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,2155 Broadway,BLUE ISLAND,IL,60406,Cook,708-389 6578
"BOBBY E. WRIGHT CCMH CENTER, INC.",5002 W Madison St,CHICAGO,IL,60644,Cook,312-722 7900
BRIDGEWAY INC,2323 Windish Dr,GALESBURG,IL,61401,Knox,309-344-2323
BROADSTEP ACADEMY-IL INC,701 W. Lamm Rd.,Freeport,IL,61032,Stephenson,617-571-2136
CAREER DEVELOPMENT CENTER,2110 W. Deleware,FAIRFIELD,IL,62837,Wayne,618-842 4019
CCAR INDUSTRIES,1530 Lincoln Ave,CHARLESTON,IL,61920,Coles,217-348 0127
CENTERSTONE OF ILLINOIS INC,902 W MAIN STREET,WEST FRANKFORT,IL,62896,Franklin,618-937 6483
CHALLENGE UNLIMITED INC,4 EMMIE L KAUS LN,ALTON,IL,62002,Madison,618-465 0044
CHERUBIM DEVELOPMENTAL TRAINING PROGRAM,285 West Loop Road,WHEATON,IL,60189,DuPage,630-715 7278
CHAMNESS CARE INC,PO BOX 1,JONESBORO,,62952,Union,618-833 4774
CHICAGO LIGHTHOUSE FOR THE BLIND,1850 W ROOSEVELT RD,CHICAGO,IL,60608,Cook,312-666 1331
CHRISTIAN COUNTY MENTAL HEALTH ASSOCIATION,PO BOX 438 707 MCADAM DR,TAYLORVILLE,IL,62568,Christian,217-824 9675
CLAY COUNTY REHAB CENTER INC,#1 Commercial Drive,FLORA,IL,62839,Clay,618-662 4916
CLEARBROOK,1835 WEST CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,Cook,847-870 7711
COLEMAN TRI COUNTY SERVICES,PO BOX 869 - 22 Veterans Drive,HARRISBURG,IL,62946,Saline,618-252 0275
COMMUNITY LINK INC,"1665 N 4TH ST, PO BOX 157",BREESE,IL,62230,Clinton,618-526-8800
COMMUNITY SUPPORT SERVICES INC,9021 OGDEN AVE,BROOKFIELD,IL,60513,Cook,708-354-4547
COMMUNITY SUPPORT SYSTEM,618 W MAIN ST,TEUTOPOLIS,IL,62401,Effingham,217-705 4300
COMMUNITY WORKSHOP and TRAINING,3215 N UNIVERSITY,PEORIA,IL,61604,Peoria,309-686 3300
Comprehensive Connections,16338 N IL HIGHWAY 37,MOUNT VERNON,IL,62864,Jefferson,618-242 1994
ComWell,10257 State Rt 3,Red Bud,IL,62278,Randolph,618-282-6233
CORNERSTONE SERVICES,777 JOYCE RD,JOLIET,IL,60435,Will,815-727-6666
CROSSPOINT HUMAN SERVICES,210 AVENUE C,DANVILLE,IL,61832,Vermilion,217-442-3200
CTF ILLLINOIS,18230 Orland Parkway,Orland Park,IL,60467,Cook,708-429-1260
DEVELOPMENTAL SERVICES CENTER,1304 W BRADLEY,CHAMPAIGN,IL,61821,Champaign,217-356 9176
EL VALOR CORPORATION,1850 W 21ST ST,CHICAGO,IL,60608,Cook,312-666-4511
ELIM CHRISTIAN SERVICES,13020 S CENTRAL AVE,CRESTWOOD,IL,60418,Cook,708-389-0555
ELM CITY REHABILITATION CENTER,1314 W WALNUT,JACKSONVILLE,IL,62650,Morgan,217-245 9504
Encore Developmental Services,10840 Route 10 East PO BOX 616,CLINTON,IL,61727,DeWitt,217-935 2218
ENVISION UNLIMITED,8 S MICHIGAN AVE SUITE 1700,CHICAGO,IL,60603,Cook,312-346-6230
EPIC,1913 W Townline Rd,Peoria,IL,61615,Peoria,309-691-3800
ESPERANZA COMMUNITY SERVICES,520 N MARSHFIELD AVE,CHICAGO,IL,60622,Cook,312-243 6097
"FAYCO ENTERPRISES, INC.",1313 SUNSET DR,VANDALIA,IL,62471,Fayette,618-283 0638
"FIVE STAR INDUSTRIES, INC.",1308 WELLS RD,DUQUOIN,IL,62832,Perry,618-542 5421
"FULTON COUNTY REHABILITATION CENTER, INC.",500 N MAIN STREET,CANTON,IL,61520,Fulton,309-647 6510
FUTURES UNLIMITED INC,210 E TORRANCE AVE,PONTIAC,IL,61764,Livingston,815-842 1122
GARDEN CENTER SERVICES,10444 S Kedzie,Chicago,IL,60655,Cook,708-560-4400
"GATEWAY SERVICES, INC.",406 S GOSSE BLVD,PRINCETON,IL,61356,Bureau,815-875 4548
GATEWAY TO LEARNING,4925 N LINCOLN AVE,CHICAGO,IL,60625,Cook,773-784 3200
"GENESIS DTC, LLC",350 SYCAMORE ROAD,GENOA,IL,60135,DeKalb,815-784-5146
GLENKIRK,3504 COMMERCIAL AVE.,NORTHBROOK,IL,60062,Cook,847-272 5111
GOOD SHEPHERD MANOR INC,4129 N. State RTE 1 &17; PO BOX 260,MOMENCE,IL,60954,Kankakee,815-472 3700
GRAND PRAIRIE SERVICES,17746 S OAK PARK AVE,TINLEY PARK,IL,60477,Cook,708-444 1012
"HABILITATIVE SYSTEMS, INC.",415 S KILPATRICK,CHICAGO,IL,60644,Cook,773-261 2252
HELPING HAND CENTER,9649 W 55TH ST,COUNTRYSIDE,IL,60525,Cook,708-352 3580
HORIZON HOUSE OF IL VALLEY INC,2000 PLANK RD,PERU,IL,61354,LaSalle,815-223 4488
HUMAN RESOURCES CENTER OF EDGAR AND CLARK COUNTIES,PO Box 1118 753 E COURT ST,PARIS,IL,61944,Edgar,217-465-4118
Human Support Services,988 N Illinois Route 3,Waterloo,IL,62298,Monroe,618-939-4444
ILLINOIS CENTER FOR AUTISM,548 S RUBY LN,FAIRVIEW HEIGHTS,IL,62208,St Clair,618-398 7500
ILLINOIS VALLEY ECONOMIC DEVELOPMENT CORPORATION,PO BOX 88 223 S MACOUPIN ST,GILLESPIE,IL,62033,Macoupin,217-839 4431
ILLINOIS VALLEY INDUSTRIES INC,1033 THIRD AVE,MORRIS,IL,60450,Grundy,815-942 6133
INDIVIDUAL ADVOCACY GROUP INC,1289 WINDHAM PARKWAY,ROMEOVILLE,IL,60446,Will,630-759 0201
JCFS CHICAGO,6639 N Kedzie Ave,CHICAGO,IL,60645,Cook,312-545-2924
JR'S CENTRE,100 Florsheim Drive,ANNA,IL,62906,Union,618-833 4956
KANKAKEE COUNTY TRAINING CENTER,333 S. SCHUYLER AVE,BRADLEY,IL,60915,Kankakee,815-932 4022
"KASKASKIA WORKSHOP, INC.",299 SWAN AVE P O BOX 1946,CENTRALIA,IL,62801,Marion,618-533 4423
"KCCDD, INC.",2015 WINDISH DR,GALESBURG,IL,61401,Knox,309-344 2600
KESHET,610 Academy Dr,NORTHBROOK,IL,60062,Cook,847-205 1234
KREIDER SERVICES INC.,500 ANCHOR RD P O BOX 366,DIXON,IL,61021,Lee,815-288 6691
LAMBS FARM,14245 W Rockland Rd,LIBERTYVILLE,IL,60048,Lake,847-362 4636
LAND OF LINCOLN GOODWILL INDUSTRIES,1220 OUTER PARK DRIVE,SPRINGFIELD,IL,62704,Sangamon,217-789 0400
LARC,19043 WENTWORTH,LANSING,IL,60438,Cook,708-474 1540
LAWRENCE CRAWFORD ASSOC FOR EXCEPTIONAL CITIZENS,905 W MULBERRY,ROBINSON,IL,62454,Crawford,618-546 5625
LESTER AND ROSALIE ANIXTER CENTER,"1945 W Wilson Ave, Ste 3000",CHICAGO,IL,60640,Cook,773-571-0238
LITTLE CITY FOUNDATION,1760 W Algonquin Rd,Palatine,IL,60067,Cook,847-358-5510
"LITTLE FRIENDS, INC",27555 DIEHL,Warrenville,IL,60555,DuPage,630-355-6533
LUTHERAN SOCIAL SERVICES OF ILLINOIS,1001 E Touhy Avenue Suite 50,Des Plaines,IL,60018,Cook,847-390-1434
"MACON RESOURCES, INC",2121 HUBBARD AVE,DECATUR,IL,62526,Macon,217-875-1910
MALCOLM EATON ENTERPRISES,570 W LAMM RD,FREEPORT,IL,61032,Stephenson,815-235 7181
MAP TRAINING CENTER INC,504 E 7TH STREET,KARNAK,IL,62956,Pulaski,618-634 9401
MARCFIRST,2000 Jacobssen Drive,NORMAL,IL,61761,McLean,309-451 8888
MARKLUND CHILDRENS HOME,1 S 450 WYATT DR,GENEVA,IL,60134,Kane,630-529 2018
MENTAL HEALTH CENTERS OF CENTRAL ILLINOIS,710 N 8TH ST,SPRINGFIELD,IL,62702,Sangamon,217-525 1064
MENTAL HEALTH CENTERS OF WESTERN ILLINOIS,700 SE CROSS ST,MT STERLING,IL,62353,Brown,217-773 3325
MILESTONE INC,4060 MCFARLAND RD,LOVES PARK,IL,61111,Winnebago,815-654 6100
MISERICORDIA HOME,6300 N RIDGE,CHICAGO,IL,60660,Cook,773-973-6300
MOSAIC OF ILLINOIS,220 N LAFAYETTE ST,MACOMB,IL,61455,McDonough,309-837 5506
"MOULTRIE COUNTY BEACON, INC.",401 W WATER,SULLIVAN,IL,61951,Moultrie,217-728 7396
MOUNT ST JOSEPH,24955 N US HIGHWAY 12,LAKE ZURICH,IL,60047,Lake,847-438 5050
NEW OPPORTUNITIES INC,1510 W SEVENTH ST,GRANITE CITY,IL,62040,Madison,618-452 8165
NEW STAR INC,1005 W END AVE,CHICAGO HEIGHTS,IL,60611,Cook,708-755 8030
NORTH CENTER FOR HANDICAPPED CHILDREN,5104 WEST BELMONT AVENUE,CHICAGO,IL,60641,Cook,312-777 4111
OAK-LEYDEN DEVELOPMENT SERVICE,411 W CHICAGO AVE,OAK PARK,IL,60302,Cook,708-524-1050
OPEN DOOR REHAB CENTER,405 S WELLS ST,SANDWICH,IL,60548,DeKalb,815-786 8468
OPPORTUNITY HOUSE INC,357 N. CALIFORNIA ST,SYCAMORE,IL,60178,DeKalb,815-895 5108
ORCHARD VILLAGE,7660 Gross Point Road,SKOKIE,IL,60077,Cook,847-967 1800
OTTAWA FRIENDSHIP HOUSE,1718 N 2525 RD,OTTAWA,IL,61350,LaSalle,815-434 0737
OUR DIRECTIONS INC,PO BOX 2084,HERRIN,IL,62948,Williamson,618-988-8178
PARK LAWN SCHOOL and ACTIVITY,10833 S LAPORTE AVE,OAK LAWN,IL,60453,Cook,708-425 3344
"PATHWAY SERVICES UNLIMITED, INC.",1905 WEST MORTON AVE,JACKSONVILLE,IL,62650,Morgan,217-479 2300
PIATT COUNTY MENTAL HEALTH CENTER,1921 N MARKET ST,MONTICELLO,IL,61856,Piatt,217-762 5371
PIONEER CENTER FOR HUMAN SERVICES,4031 W. DAYTON ST,MCHENRY,IL,60050,McHenry,815-344-1230
"PROGRESS PORT, INC",1120 NORTH DIVISION STREET,CARTERVILLE,IL,62918,Williamson,618-985 8351
PROGRESSIVE HOUSING INC,20180 GOVERNORS DRIVE SUITE 300,OLYMPIA FIELDS,IL,60461,Cook,708-283 1530
PROGRESSIVE THERAPEUTIC,1141 WEST 175TH ST,HOMEWOOD,IL,60430,Cook,708-339-0110
