City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
Bensenville,DUPAGE,(630) 860-5188,Cardinal Fence & Supply Inc,IL,1025 Industrial Dr.,60106,Adaptive Equipment/Assitive Technology Services
Homer Glen,Will,(708) 732-5297,Covered in Comfort LLC,IL,13960 S King Rd,60491,Adaptive Equipment/Assitive Technology Services
Marion,Williamson,(618) 889-6171,All American Acess & Mobility,IL,102 E DeYoung St Ste A,62959,Adaptive Equipment/Assitive Technology Services
Joliet,Will,(779) 702-5499,TEC lab (a division of Trinity Services),IL,101 Hempstead Place,60433,Adaptive Equipment/Assitive Technology Services
Naperville,DUPAGE,(630) 524-0015,101 Mobility - Naperville,IL,1701 Quincy Ave,60540,Adaptive Equipment/Assitive Technology Services
Anna,Union,(618) 833-0247,Stegle Plumbing,IL,2165 Boyd Rd,62906,Adaptive Equipment/Assitive Technology Services
Joliet,Will,(815) 834-1200,America's Backyard,IL,1909 S Briggs St,60433,Adaptive Equipment/Assitive Technology Services
Chicago,Cook,(773) 594-0921,Active Visions Inc,IL,5408 W DEVON AVE,60646,Adaptive Equipment/Assitive Technology Services
EAST PEORIA,Tazewell,(309) 229-2212,Johnson Controls Fire Protection,IL,686 High Point Ln,61611,Adaptive Equipment/Assitive Technology Services
Marion,Williamson,(618) 993-3977,L and K Fire Protection Inc,IL,1501 E Main St,62959,Adaptive Equipment/Assitive Technology Services
Matteson,Cook,(773) 603-8667,Enspivation LLC,IL,5646 FERNWOOD CT,60443,Adaptive Equipment/Assitive Technology Services
Mattoon,Coles,(217) 234-2777,Fessi INC,IL,2401 S 14th St,61938,Adaptive Equipment/Assitive Technology Services
Arnold,,(314) 200-3855,Promise Mobility LLC,MO,4700 Happy Ln,63010,Adaptive Equipment/Assitive Technology Services
Northbrook,Cook,(847) 498-4870,"F.E. Moran, Inc. Fire Protection",IL,2165 Shermer Rd,60062,Adaptive Equipment/Assitive Technology Services
Atlanta,,(404) 666-9341,"MapHabit, Inc.",GA,75 5th St NW Ste 2240,30308,Adaptive Equipment/Assitive Technology Services
Aurora,,(303) 309-3647,Autism Community Store,CO,14095 E Exposition Ave,80012,Adaptive Equipment/Assitive Technology Services
La Grange,Cook,(708) 579-9055,NuToys Leisure Products Inc.,IL,915 W Hillgrove Ave,60525,Adaptive Equipment/Assitive Technology Services
