Provider Name,Address,Phone Number,Verified,Matched Data
ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,309 W New Indian Trail Court,(630) 966-4000,True,"{'id': 'wQLaPt7budajR4g41DoEHQ', 'alias': 'association-for-individual-development-dekalb', 'name': 'Association for Individual Development', 'image_url': 'https://s3-media1.fl.yelpcdn.com/bphoto/8KrZH6N_CEfQCmfk1zhu5g/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/association-for-individual-development-dekalb?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 2, 'categories': [{'alias': 'walkinclinics', 'title': 'Walk-in Clinics'}], 'rating': 3.0, 'coordinates': {'latitude': 41.93078762788115, 'longitude': -88.74575399999999}, 'transactions': [], 'location': {'address1': '304 N 6th St', 'address2': 'Unit C', 'address3': None, 'city': 'DeKalb', 'zip_code': '60115', 'country': 'US', 'state': 'IL', 'display_address': ['304 N 6th St', 'Unit C', 'DeKalb, IL 60115']}, 'phone': '+18183755261', 'display_phone': '(818) 375-5261', 'distance': 88411.08072477432, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
AURORA HOME CARE INC.,2970 Maria Ave Suite 210,(847) 559-1222,True,"{'id': 'K4lgrAMzZZxHYKKUjHxAYQ', 'alias': 'home-instead-naperville', 'name': 'Home Instead', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/KGh7hUkq_ccVFV9PbHGmgA/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/home-instead-naperville?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 4, 'categories': [{'alias': 'homehealthcare', 'title': 'Home Health Care'}], 'rating': 2.0, 'coordinates': {'latitude': 41.78549, 'longitude': -88.13959}, 'transactions': [], 'location': {'address1': '500 E Ogden Ave', 'address2': 'Ste 204', 'address3': '', 'city': 'Naperville', 'zip_code': '60563', 'country': 'US', 'state': 'IL', 'display_address': ['500 E Ogden Ave', 'Ste 204', 'Naperville, IL 60563']}, 'phone': '+16306373360', 'display_phone': '(630) 637-3360', 'distance': 40488.278523275374, 'business_hours': [{'open': [{'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 0}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 1}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 2}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 3}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 4}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 5}, {'is_overnight': True, 'start': '0600', 'end': '0530', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
BETHSHAN ASSOCIATION,12927 S MONITOR AVE,(708) 371-0800,True,"{'id': 'EA_GEbY99Cyhtfe73GP41w', 'alias': 'bethshan-association-south-holland', 'name': 'Bethshan Association', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/bethshan-association-south-holland?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 0, 'categories': [], 'rating': 0.0, 'coordinates': {'latitude': 41.602382, 'longitude': -87.609291}, 'transactions': [], 'location': {'address1': '271 E 161st St', 'address2': '', 'address3': '', 'city': 'South Holland', 'zip_code': '60473', 'country': 'US', 'state': 'IL', 'display_address': ['271 E 161st St', 'South Holland, IL 60473']}, 'phone': '+17085962953', 'display_phone': '(708) 596-2953', 'distance': 34140.47758620096, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
CENTER FOR DISABILITY SERVICES,311 S Reed Street,(815) 744-3500,True,"{'id': 'f7mnP2pkeJ-to_J4X7hwIQ', 'alias': 'cognitive-solutions-learning-center-chicago-4', 'name': 'Ari Goldstein', 'image_url': 'https://s3-media3.fl.yelpcdn.com/bphoto/MM_DQVG28b4ANZ6O32Ke6Q/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/cognitive-solutions-learning-center-chicago-4?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 24, 'categories': [{'alias': 'c_and_mh', 'title': 'Counseling & Mental Health'}], 'rating': 4.7, 'coordinates': {'latitude': 41.92574, 'longitude': -87.66782}, 'transactions': [], 'location': {'address1': '2419 N Ashland Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2419 N Ashland Ave', 'Chicago, IL 60614']}, 'phone': '+17737551775', 'display_phone': '(773) 755-1775', 'distance': 2429.1698855192017, 'business_hours': [{'open': [{'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 3}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
CHALLENGE UNLIMITED INC,4 EMMIE L KAUS LN,(618) 465-0044,True,"{'formatted_address': '4 Emmie L, Emma L Kaus Ln, Alton, IL 62002, United States', 'name': 'Challenge Unlimited', 'place_id': 'ChIJsf_30R8CdogRBUGIJloZi8s'}"
"Chapman, Terrance",Not Available,(832) 755-5521,True,"{'id': 'IL4x2O_rmZKd6jUcBgseXg', 'alias': 'cajun-boil-and-bar-oakbrook-terrace-oakbrook-terrace', 'name': 'Cajun Boil & Bar - Oakbrook Terrace', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/JFScVtcNi1kapFxv5pYy3A/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/cajun-boil-and-bar-oakbrook-terrace-oakbrook-terrace?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 539, 'categories': [{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}], 'rating': 3.0, 'coordinates': {'latitude': 41.8470155, 'longitude': -87.9708459}, 'transactions': ['delivery', 'pickup'], 'price': '$$$', 'location': {'address1': '17W512 W 22nd St', 'address2': '', 'address3': None, 'city': 'Oakbrook Terrace', 'zip_code': '60181', 'country': 'US', 'state': 'IL', 'display_address': ['17W512 W 22nd St', 'Oakbrook Terrace, IL 60181']}, 'phone': '+16302792888', 'display_phone': '(630) 279-2888', 'distance': 25112.034739152758, 'business_hours': [{'open': [{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}], 'attributes': {'business_temp_closed': None, 'menu_url': 'https://www.cajunboilandbar.com/menus', 'open24_hours': None, 'waitlist_reservation': None}}"
CHICAGO LIGHTHOUSE FOR THE BLIND,1850 W ROOSEVELT RD,(312) 666-1331,True,"{'id': '0wO6mPb8Z7J--vt8H88B9A', 'alias': 'the-chicago-lighthouse-vision-rehabilitation-center-glenview', 'name': 'The Chicago Lighthouse Vision Rehabilitation Center', 'image_url': 'https://s3-media4.fl.yelpcdn.com/bphoto/AAOwL9yisA5RrvhsvgVIwA/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/the-chicago-lighthouse-vision-rehabilitation-center-glenview?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'rehabilitation_center', 'title': 'Rehabilitation Center'}], 'rating': 5.0, 'coordinates': {'latitude': 42.059738, 'longitude': -87.800095}, 'transactions': [], 'location': {'address1': '222 Waukegan Rd', 'address2': None, 'address3': None, 'city': 'Glenview', 'zip_code': '60025', 'country': 'US', 'state': 'IL', 'display_address': ['222 Waukegan Rd', 'Glenview, IL 60025']}, 'phone': '+18475106200', 'display_phone': '(847) 510-6200', 'distance': 19941.958234534268, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
CLEARBROOK,1835 WEST CENTRAL ROAD,(847) 870-7711,True,"{'id': 'UzY10ZfxBbkjTOgiMYr20w', 'alias': 'clearbrook-arlington-heights', 'name': 'Clearbrook', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/w5C8vWuSnI5IYb8_A62u7A/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/clearbrook-arlington-heights?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 7, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 2.3, 'coordinates': {'latitude': 42.0664936, 'longitude': -88.0059011}, 'transactions': [], 'location': {'address1': '1835 W Central Rd', 'address2': '', 'address3': '', 'city': 'Arlington Heights', 'zip_code': '60005', 'country': 'US', 'state': 'IL', 'display_address': ['1835 W Central Rd', 'Arlington Heights, IL 60005']}, 'phone': '+18478707711', 'display_phone': '(847) 870-7711', 'distance': 32479.5643698762, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
COLEMAN TRI COUNTY SERVICES,PO BOX 869 - 22 Veterans Drive,(618) 252-0275,True,"{'formatted_address': 'Veterans Dr, Posen, IL 60469, USA', 'name': 'Veterans Dr', 'place_id': 'ChIJF-D-aSQjDogR-mUxX3Mlm0U'}"
CONSULTING PROFESSIONALS INC,6300 N RIDGE,(773) 973-6300,True,"{'id': 'siTswL9QsVfXdhRgrrugLQ', 'alias': 'digital-funds-inc-chicago', 'name': 'Digital Funds Inc.', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/2XL7x0yXcdRgxitefJrpjw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/digital-funds-inc-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'businessconsulting', 'title': 'Business Consulting'}], 'rating': 5.0, 'coordinates': {'latitude': 41.88200186354478, 'longitude': -87.6254699}, 'transactions': [], 'location': {'address1': '67 E Madison St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60603', 'country': 'US', 'state': 'IL', 'display_address': ['67 E Madison St', 'Chicago, IL 60603']}, 'phone': '+13125229709', 'display_phone': '(312) 522-9709', 'distance': 5036.558699236229, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
