Name,Zipcode,CoEd,Wheelchair Access,24HR Support
A Plus Autism Solutions,60607,Male,No,Yes
A Plus Autism Solutions,60607,,No,
A Step Forward,62521,Male,No,Yes
A Step Forward,62521,Co-Ed,No,Yes
A Step Forward,62521,Co-Ed,No,Yes
A Step Forward,62521,Female,No,Yes
A Step Forward,62526,Co-Ed,Yes,Yes
A Step Forward,62535,Co-Ed,No,Yes
A Step Forward,62549,Co-Ed,No,Yes
A Step Forward,62656,Co-Ed,No,Yes
Abilities Plus,61443,Co-Ed,Yes,Yes
Abilities Plus,61443,Co-Ed,Yes,Yes
Abilities Plus,61443,Co-Ed,No,Yes
Access Community Experience,60461,Male,No,Yes
"Achieve Development Ctr, Inc.",60076,Male,No,Yes
"Achieve Development Ctr, Inc.",60076,Female,No,Yes
"Achieve Development Ctr, Inc.",60714,Male,No,Yes
Achievement Unlimited,61041,Co-Ed,Yes,Yes
Achievement Unlimited,61051,Co-Ed,Yes,Yes
Achievement Unlimited,61061,Co-Ed,Yes,Yes
Achievement Unlimited,61081,Co-Ed,Yes,Yes
Achievement Unlimited,61081,Male,Yes,Yes
Achievement Unlimited,61081,Co-Ed,Yes,Yes
Achievement Unlimited,61101,Co-Ed,Yes,Yes
Achievement Unlimited,61282,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Female,Yes,Yes
Achievement Unlimited,61401,Female,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Female,Yes,Yes
Achievement Unlimited,61401,Female,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Female,Yes,Yes
Achievement Unlimited,61401,,Yes,
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Male,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61401,Co-Ed,Yes,Yes
Achievement Unlimited,61410,Male,Yes,Yes
Achievement Unlimited,61410,Female,Yes,Yes
Achievement Unlimited,61410,Male,Yes,Yes
Achievement Unlimited,61489,Co-Ed,Yes,Yes
Achievement Unlimited,61832,Co-Ed,Yes,Yes
Achievement Unlimited,61832,Co-Ed,Yes,Yes
Achievement Unlimited,61832,Co-Ed,Yes,Yes
Achievement Unlimited,62047,Co-Ed,Yes,Yes
Achievement Unlimited,62052,Co-Ed,Yes,Yes
Achievement Unlimited,62246,Co-Ed,Yes,Yes
Achievement Unlimited,62301,Co-Ed,Yes,Yes
Achievement Unlimited,62305,Male,Yes,Yes
Achievement Unlimited,62401,,No,
Achievement Unlimited,62612,Male,Yes,Yes
Achievement Unlimited,62612,Co-Ed,Yes,Yes
Achievement Unlimited,62618,Co-Ed,Yes,Yes
Achievement Unlimited,62618,Co-Ed,Yes,Yes
Achievement Unlimited,62644,Co-Ed,Yes,Yes
Achievement Unlimited,62644,Co-Ed,Yes,Yes
Achievement Unlimited,62644,Co-Ed,Yes,Yes
Achievement Unlimited,62650,,No,
Achievement Unlimited,62650,Co-Ed,Yes,Yes
Achievement Unlimited,62650,Co-Ed,Yes,Yes
Achievement Unlimited,62650,,No,
Achievement Unlimited,62691,Female,Yes,Yes
Achievement Unlimited,62691,Male,Yes,Yes
Achievement Unlimited,62712,Co-Ed,Yes,Yes
Active Visions,60014,Female,No,Yes
Active Visions,60016,Co-Ed,Yes,Yes
Active Visions,60035,Male,No,Yes
Active Visions,60044,,No,
Active Visions,60060,Female,No,Yes
Active Visions,60060,,No,
Active Visions,60076,Male,Yes,Yes
Active Visions,60091,,No,
Active Visions,60156,,No,
Active Visions,60193,,No,
Active Visions,60201,,No,
Active Visions,60202,,No,
Active Visions,60622,,No,
Active Visions,60622,Co-Ed,No,Yes
Active Visions,60626,,No,
