Provider Name,Street Address,City,State,Zipcode,County,Phone Number
ABERDEEN TERRACE,4029 ABERDEEN,ALTON,IL,62002,MADISON,(618) 462-1515
ADLOFF PLACE,50 ADLOFF LN,SPRINGFIELD,IL,62703,SANGAMON,(217) 786-3109
ALDEN OF OLD TOWN EAST,108 SOUTH 1ST ST,BLOOMINGDALE,IL,60108,DUPAGE,(630) 671-1703
ALDEN OF OLD TOWN WEST,118 S BLOOMINGDALE RD,BLOOMINGDALE,IL,60108,DUPAGE,(630) 671-1660
ALDEN SPRINGS,207 EAST ARMY TRAIL RD,BLOOMINGDALE,IL,60108,DUPAGE,(630) 523-5783
ALDEN TRAILS,273 ARMY TRAIL RD,BLOOMINGDALE,IL,60108,DUPAGE,(630) 671-1990
ALDEN VILLAGE HEALTH FACILITY,267 E LAKE ST,BLOOMINGDALE,IL,60108,DUPAGE,(630) 529-3350
ALDEN VILLAGE NORTH,7464 N SHERIDAN RD,CHICAGO,IL,60626,COOK,(773) 338-0200
ALTON BLUFFS ESTATE,821 WASHINGTON AVE,ALTON,IL,62002,MADISON,(618) 474-2020
ALVIN EADES CENTER,1000A W MICHIGAN,JACKSONVILLE,IL,62650,MORGAN,(217) 245-9898
ANNA TERRACE,408 ANNA ST,JACKSONVILLE,IL,62650,MORGAN,(217) 245-5566
APOS CHRISTIAN TIMBER RIDGE,2125 VETERANS RD,MORTON,IL,61550,TAZEWELL,(309) 266-9781
ASHTON TERRACE,307 ALAN ST,ASHTON,IL,61006,LEE,(815) 453-2226
AVISTON TERRACE,349 W FIRST ST,AVISTON,IL,62216,CLINTON,(618) 228-7040
BEARDSTOWN TERRACE,310 E 8TH ST,BEARDSTOWN,IL,62618,CASS,(217) 323-5544
BELLEFONTAINE PLACE,98 DEBRA LN,WATERLOO,IL,62298,MONROE,(618) 939-3336
BELLWOOD DEVELOPMENTAL CENTER,105 EASTERN AVENUE,BELLWOOD,IL,60104,COOK,(708) 547-3580
BENJAMIN GREEN-FIELD RESIDENCE,PO BOX 520,LIBERTYVILLE,IL,60048,LAKE,(847) 362-4636
BETHSHAN ASSOCIATION,12927 S MONITOR,PALOS HTS,IL,60463,COOK,(708) 371-0800
BEVERLY FARM FOUNDATION,6301 HUMBERT RD,GODFREY,IL,62035,MADISON,(618) 466-0367
BJORKLUND HOUSE,15841 TERRACE DR,OAK FOREST,IL,60452,COOK,(708) 687-2038
BOYD AVENUE HOME,110 S BOYD AVE,AMBOY,IL,61310,LEE,(815) 857-2299
BRACH HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
BRAUNS TERRACE,1115 E WASHINGTON ST,GREENVILLE,IL,62246,BOND,(618) 664-1444
BRIARBROOK PLACE,228 BRIARBROOK DR,E PEORIA,IL,61611,TAZEWELL,(309) 698-9200
BROADWAY TERRACE,43 BROADWAY,CHICAGO HTS,IL,60411,COOK,(708) 756-7771
BROTHER JAMES COURT,2508 ST JAMES ROAD,SPRINGFIELD,IL,62707,SANGAMON,(217) 544-4876
BRYAN MANOR,"2150 E MCCORD, PO BOX 568",CENTRALIA,IL,62801,MARION,(618) 918-3770
BURNHAM HOUSE,545 BURNHAM,UNIVERSITY PARK,IL,60466,WILL,(708) 534-5529
CALUMET CITY TERRACE,1380 RIVER DR,CALUMET CITY,IL,60409,COOK,(708) 730-3312
CAMPBELL COURT,426 E DOUGLAS,JACKSONVILLE,IL,62650,MORGAN,(217) 245-8001
CANTERBURY PLACE,2503 CANTERBURY LN,ROCKFORD,IL,61101,WINNEBAGO,(815) 965-1778
CARLINVILLE ESTATES,1221 S PLUM ST,CARLINVILLE,IL,62626,MACOUPIN,(217) 854-9443
CAROLE LANE TERRACE,1641 CAROLE LN,SAUK VILLAGE,IL,60411,COOK,(708) 758-8756
CARR HOME,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
CARTHAGE TERRACE,1205 N CENTER STREET,CARTHAGE,IL,62321,HANCOCK,(217) 357-2333
CASA WILLIS,910 WOODBURN AVE,STERLING,IL,61081,WHITESIDE,(815) 625-4444
CHAMNESS SQUARE,340 HERITAGE DR,BOURBONNAIS,IL,60914,KANKAKEE,(815) 932-2745
CLEARBROOK - WRIGHT HOME,34377 N ALMOND RD,GURNEE,IL,60031,LAKE,(847) 855-9450
CLEARBROOK CENTER,3201 W CAMPBELL STR,ROLLING MEADOWS,IL,60008,COOK,(847) 255-0120
CLEARBROOK EAST,3802 S OLD WILKE RD,ROLLING MDWS,IL,60008,COOK,(847) 870-0745
