Provider Name,Street Address,City,State,Zipcode,County,Phone Number
A NEW AGE HUMAN SERVICES CORPORATION,2953 N Nashville Ave,"CHICAGO,",IL,60634,Cook,773-237 8793
A STEP FORWARD INC.,5310 E WILLIAMS ST,DECATUR,IL,62521,Macon,217-422 6361
A TURNING POINT FOR LIFE OF ILLINOIS,4212 207th Street,Matteson,IL,60443,Cook,708-414-6143
A+ AUTISM SOLUTIONS,1111 W 14th Place #330,Chicago,IL,60608,Cook,773-371-5691
ABEQUA HOME HEALTH CARE AGENCY,"2720 South River Road, Suite 142",DES PLAINES,IL,60018,Cook,630-696-2868
"ABILITIES PLUS, INC.",1100 N East ST,KEWANEE,IL,61443,Henry,309-852 4626
"Abundant Possibilities and Services, LLC",208 Pine Dale Drive,Swansea,IL,62226,Saint Clair,(618) 225-2896
"ACCESS COMMUNITY EXPERIENCE, INC",4530 S Woodlawn Ave Unit 104,CHICAGO,IL,60653,Cook,708-271 3463
"ACHIEVE DEVELOPMENT ASSOCIATION, INC","5115 Church St, Suite 100",SKOKIE,IL,60077,Cook,847-677 4933
ACHIEVEMENT UNLIMITED INC,285 S Farnham St,GALESBURG,IL,61401,Knox,309-343-1550
ACTIVE VISIONS INC,5721 N. Central,CHICAGO,IL,60646,Cook,773-594 0921
ADA S MCKINLEY COMMUNITY SERVICES INC,1359 W Washington Boulevard,CHICAGO,IL,60607,Cook,312-385-2000
ALPHA OMEGA CONSULTING INC,805 East Johns Ave,DECATUR,IL,62521,Macon,217-422-4725
"ALPHA TO OMEGA LIVING, LLC",1885 169TH PL,SOUTH HOLLAND,IL,60473,Cook,773-457-5983
ALVIN EADES CENTER INC,905 West Superior Ave,JACKSONVILLE,IL,62650,Morgan,217-245 9898
AMERICAN RESIDENTIAL CARE INC,800 Woodfield Road Suite 117,SCHAUMBURG,IL,60173,Cook,847-327 0400
"AMMA CARE, LLC",1061 Victoria Ln,Glendale Heights,IL,60139,DuPage,630-519- 1281
Anova Healthcare Services,386 Greenbay Ave,Calumet City,IL,60409,Cook,720-655-6111
"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",2073 Veterans Road,Morton,IL,61550,Tazewell,309-266 9781
ARROWLEAF,PO BOX 759 125 NORTH MARKET,GOLCONDA,IL,62938,Pope,618-658 2611
ASPIRE OF ILLINOIS,1815 SOUTH WOLF ROAD,Hillside,IL,60162,Cook,708-236 0979
ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,309 W New Indian Trail Court,AURORA,IL,60506,Kane,630-966 4000
ASSOCIATION FOR THE BETTERMENT OF RETARDED ADULTS (ABRA),"107 N. 4TH St, PO Box 517",SHELDON,IL,60966,Iroquois,815-429 3007
ASSOCIATION FOR THE DISABLED IN WOODFORD COUNTY,200 Moody St,Eureka,IL,61530,Woodford,309-467 3015
ASSOCIATION HOUSE OF CHICAGO,1116 N Kedzie,Chicago,IL,60651,Cook,(773) 772-7170
"AT HOME MISSION, NFP",1217 Tyrell Ave,Park Ridge,IL,60068,Cook,224-585-3772
AURORA HOME CARE INC.,"3100 Dundee Road, Suite 401",NORTHBROOK,IL,60062,Cook,847-559 1222
AUSTIN SPECIAL CHICAGO,5318 N Elstone Ave,CHICAGO,IL,60630,Cook,773-282 9992
"AVANCER HOMES, LLC",350 SYCAMORE ROAD,GENOA,IL,60135,DeKalb,815-784-5146
AVENUES TO INDEPENDENCE,515 Busse Hwy,PARK RIDGE,IL,60068,Cook,847-292 0870
AZZ Kicking Machine LLC dba Inspire Community Homes LLC,4007 Memorial Dr,Belleville,IL,62226,St. Clair,702-875-1766
BARTLETT LEARNING CENTER,3s570 Warren Ave,Warrenville,IL,60555,DuPage,630-393-7802
"Benson, Trinette DBA Gifted Hands 5 LLC",4515 Camden Ct,Richton Park,IL,60471,Cook,708-257-1587
BETHSHAN ASSOCIATION,12927 S MONITOR AVE,PALOS HEIGHTS,IL,60463,Cook,708-371 0800
BEVERLY HILLS HOME CARE INC,10601 S Longwood Dr.,CHICAGO,IL,60643,Cook,773-457-6005
BEVERLYFARM LIVING OPTIONS INC,6301 Humbert Road,GODFREY,IL,62035,Madison,618-466 0367
BLISS HAVEN INC,"1304 Durham St,","Johnston City,",IL,62951,Williamson,(618) 927-5300
BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,2155 Broadway,BLUE ISLAND,IL,60406,Cook,708-389 6578
"BREATH OF LIFE PROFESSIONAL SERVICES, NFP","1789 35th Street, #6311",OAK BROOK,IL,60523,DuPage,708-715-8550
BRIDGEWAY INC,2323 Windish Dr,GALESBURG,IL,61401,Knox,309-344-2323
BROADSTEP ACADEMY-IL INC,701 W. Lamm Rd.,Freeport,IL,61032,Stephenson,617-571-2136
BROOKE HILL MANAGEMENT INC,PO Box 295 1420 W 3rd St,MT CARMEL,IL,62863,Wabash,618-262 6538
BROWNSTONE SERVICES HELPING THOSE IN NEED,236 W 17th St,CHICAGO HEIGHTS,IL,60411,Cook,708-431-1446
CAREER DEVELOPMENT CENTER,2110 W. Deleware,FAIRFIELD,IL,62837,Wayne,618-842 4019
"CARING HANDS CILA OF IL, INC.",430 Wildwood Dr,PARK FOREST,IL,60466,Cook,708-506 3589
CCAR INDUSTRIES,1530 Lincoln Ave,CHARLESTON,IL,61920,Coles,217-348 0127
CENTER ON DEAFNESS,3444 DUNDEE ROAD,NORTHBROOK,IL,60062,Cook,847-559 0110
CENTERSTONE OF ILLINOIS INC,902 W MAIN STREET,WEST FRANKFORT,IL,62896,Franklin,618-937 6483
CEREBRAL PALSY OF SOUTHWESTERN ILLINOIS,10200 Old Lincoln Trail,Fairview Heights,IL,62208,St Clair,618-233 0210
CHAMNESS CARE INC,PO BOX 1,JONESBORO,IL,62952,Union,618-833 4774
CHERUBIM DEVELOPMENTAL TRAINING PROGRAM,285 West Loop Road,WHEATON,IL,60189,DuPage,630-715 7278
CHRISTIAN COUNTY MENTAL HEALTH ASSOCIATION,PO BOX 438 707 MCADAM DR,TAYLORVILLE,IL,62568,Christian,217-824 9675
CHRISTIAN SOCIAL SERVICES OF IL DBA CARITAS FAMILY SOLUTIONS,"8601 W. MAIN ST., STE 201",BELLEVILLE,IL,62223,St Clair,618-213-8700
CILA CORPORATION,832-C W NORTH AVE P.O. BOX 160,FLORA,IL,62839,Clay,618-662 8494
CIRCLE OF SUPPORT INC,"1411 PETERSON AVE, Ste 103",PARK RIDGE,IL,60068,Cook,847-292 8523
CLEARBROOK,1835 WEST CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,Cook,847-870 7711
COLEMAN TRI COUNTY SERVICES,PO BOX 869 - 22 Veterans Drive,HARRISBURG,IL,62946,Saline,618-252 0275
COMMUNITY ALTERNATIVES ILL INC,1630 GEORGETOWN RD SUITE 3,TILTON,IL,61846,Vermillion,217-443 4123
Community Connection and Services,2405 Fourlakes Dr.,Belleville,IL,62220,SAINT CLAIR,(618) 980-3117
"COMMUNITY INTEGRATED LIVING INC. d/b/a CIL, Inc.",201 E Chestnut St,ANNA,IL,62906,Union,618-833-2500
COMMUNITY LINK INC,"1665 N 4TH ST, PO BOX 157",BREESE,IL,62230,Clinton,618-526-8800
"COMMUNITY LIVING OPTIONS, INC",285 S Farnham St,Galesburg,IL,61401,Knox,309-343-1550
COMMUNITY REGIONAL SERVICES,17843 Torrence Ave Ste 1E,Lansing,IL,60438,Cook,(708) 673-7564
COMMUNITY SUPPORT SERVICES INC,9021 OGDEN AVE,BROOKFIELD,IL,60513,Cook,708-354-4547
COMMUNITY SUPPORT SYSTEM,618 W MAIN ST,TEUTOPOLIS,IL,62401,Effingham,217-705 4300
COMMUNITY WORKSHOP and TRAINING,3215 N UNIVERSITY,PEORIA,IL,61604,Peoria,309-686 3300
"COMPASSION CILA HOMES, INC.",304 SPRINGFIELD STREET,PARK FOREST,IL,60466,Cook,773-419 2211
COMPASSIONATE LIVING HOME INC,"1730 Park Street, Suite 214",Naperville,IL,60563,DuPage,630-430-2057
ComWell,10257 State Rt 3,Red Bud,IL,62278,Randolph,618-282-6233
CORNERSTONE SERVICES,777 JOYCE RD,JOLIET,IL,60435,Will,815-727-6666
COVENANT ENABLING RESIDENCES OF ILLINOIS,15841 TERRACE DR,OAK FOREST,IL,60452,Cook,708-687 2038
CRA INC,816 Wyatt Ave,Lincoln,IL,62656,Logan,217-735-3352
CROSSPOINT HUMAN SERVICES,210 AVENUE C,DANVILLE,IL,61832,Vermilion,217-442-3200
CTF ILLLINOIS,18230 Orland Parkway,Orland Park,IL,60467,Cook,708-429-1260
CUBBULL INC,P.O. BOX 478 - 121 W Elm Street,CANTON,IL,61520,Fulton,309-224 4093
D CARE INCORPORTATED,21816 Olivia Ave,Sauk Village,IL,60411,Cook,708-515-9295
DESTINY HOUSING,"244 Main Street, 2nd Fl",Park Forest,IL,60466,Cook,708-663-4910
DEVELOPMENTAL FOUNDATIONS INC,4102 Belmont Point,CHAMPAIGN,IL,61822,Champaign,217-398-0754
DEVELOPMENTAL SERVICES CENTER,1304 W BRADLEY,CHAMPAIGN,IL,61821,Champaign,217-356 9176
DEVORA'S DREAM INC,2500 Violet St,Glenview,IL,60026,Cook,224-558 4509
DIANE HOME CARE INC,7800 N Milwaukee Ave,Niles,IL,60714,Cook,847-675 6093
"DIVINE CENTER, INC",513 Marquette Ave.,Calumet City,IL,60409,Cook,773-721-6535
DIVINE TOUCH CILA HOMES INC,"18225 Burnham Ave, Suite B2",Lansing,IL,60438,Cook,773-430-8668
